ocid,buyer_name,province,category,method,tender_date,contract_id,contract_value,duration_days,award_id,award_value,supplier_name,year,month,quarter,log_value,duration_years,is_year_end_quarter,is_peak_month,province_quarter,prov_cat_q,supplier_prior_awards,is_new_supplier,duration_band
ocds-00000022,SANRAL,Limpopo,Goods,open,2023-09-23,c-00000022,1738116.0,824,a-00000022,1659563.398508965,Supplier_0012,2023,9,3,14.36831290129886,2.2559890485968515,0,0,Limpopo_Q3,Limpopo_Goods_Q3,116,0,2-3yr
ocds-00000023,Eskom,Free State,Services,open,2025-05-27,c-00000023,7355645.03,1055,a-00000023,7577012.648371261,Supplier_0280,2025,5,2,15.810978743646428,2.8884325804243667,0,0,Free State_Q2,Free State_Services_Q2,19,0,2-3yr
ocds-00000024,eThekwini,Eastern Cape,Goods,open,2025-06-17,c-00000024,31294.44,956,a-00000024,31781.76526695645,Supplier_0010,2025,6,2,10.351227679013919,2.617385352498289,0,0,Eastern Cape_Q2,Eastern Cape_Goods_Q2,121,0,2-3yr
ocds-00000025,Eskom,KwaZulu-Natal,Goods,open,2022-06-10,c-00000025,979417.8,952,a-00000025,971922.4078679344,Supplier_0420,2022,6,2,13.794714613491895,2.6064339493497606,0,0,KwaZulu-Natal_Q2,KwaZulu-Natal_Goods_Q2,23,0,2-3yr
ocds-00000026,Dept of Public Works,Western Cape,Goods,selective,2023-05-17,c-00000026,13100480.49,729,a-00000026,13107361.350277936,Supplier_0268,2023,5,2,16.388159542457764,1.995893223819302,0,0,Western Cape_Q2,Western Cape_Goods_Q2,9,0,1-2yr
ocds-00000027,SANRAL,Mpumalanga,Works,open,2025-01-03,c-00000027,23362829.64,80,a-00000027,23602160.629999172,Supplier_0339,2025,1,1,16.96665688324078,0.2190280629705681,0,0,Mpumalanga_Q1,Mpumalanga_Works_Q1,12,0,<3mo
ocds-00000028,Eskom,Western Cape,Works,open,2022-10-09,c-00000028,7395589.75,1318,a-00000028,7588992.284744577,Supplier_0122,2022,10,4,15.816394535993867,3.6084873374401094,1,0,Western Cape_Q4,Western Cape_Works_Q4,15,0,>3yr
ocds-00000029,City of Johannesburg,Eastern Cape,Works,open,2023-05-20,c-00000029,46095634.28,1124,a-00000029,44881867.978746004,Supplier_0027,2023,5,2,17.646228824091875,3.077344284736482,0,0,Eastern Cape_Q2,Eastern Cape_Works_Q2,74,0,>3yr
ocds-00000030,Eskom,Free State,Goods,open,2024-06-08,c-00000030,984693.68,630,a-00000030,947031.7312435536,Supplier_0018,2024,6,2,13.80008690256059,1.7248459958932238,0,0,Free State_Q2,Free State_Goods_Q2,99,0,1-2yr
ocds-00000031,City of Johannesburg,Eastern Cape,Services,open,2023-04-21,c-00000031,44666.01,656,a-00000031,46867.88705131127,Supplier_0026,2023,4,2,10.706990476802561,1.7960301163586585,0,0,Eastern Cape_Q2,Eastern Cape_Services_Q2,59,0,1-2yr
ocds-00000032,City of Cape Town,Gauteng,Goods,open,2024-03-26,c-00000032,1091596.68,1052,a-00000032,1057552.0893392207,Supplier_0054,2024,3,1,13.903152942493431,2.8802190280629705,0,0,Gauteng_Q1,Gauteng_Goods_Q1,39,0,2-3yr
ocds-00000033,City of Cape Town,Western Cape,Works,open,2025-04-13,c-00000033,51782362.9,1296,a-00000033,53910240.959293544,Supplier_0417,2025,4,2,17.762560184007295,3.5482546201232035,0,0,Western Cape_Q2,Western Cape_Works_Q2,12,0,>3yr
ocds-00000034,Dept of Public Works,Mpumalanga,Services,open,2022-08-13,c-00000034,1045128.89,1469,a-00000034,999510.2502961267,Supplier_0065,2022,8,3,13.859651732307578,4.0219028062970565,0,1,Mpumalanga_Q3,Mpumalanga_Services_Q3,23,0,>3yr
ocds-00000035,Dept of Education,Gauteng,Works,open,2024-02-17,c-00000035,30470342.81,976,a-00000035,29681419.418237522,Supplier_0485,2024,2,1,17.232264434455832,2.6721423682409307,0,0,Gauteng_Q1,Gauteng_Works_Q1,18,0,2-3yr
ocds-00000036,Dept of Public Works,Gauteng,Works,open,2025-08-22,c-00000036,35780677.65,1190,a-00000036,37455119.4949859,Supplier_0021,2025,8,3,17.39291860316514,3.2580424366872007,0,1,Gauteng_Q3,Gauteng_Works_Q3,91,0,>3yr
ocds-00000037,Dept of Health,Gauteng,Services,open,2024-03-18,c-00000037,807549.95,1530,a-00000037,798848.1184008085,Supplier_0001,2024,3,1,13.601761428063714,4.188911704312115,0,0,Gauteng_Q1,Gauteng_Services_Q1,143,0,>3yr
ocds-00000038,Dept of Health,KwaZulu-Natal,Services,open,2025-07-06,c-00000038,435235.57,620,a-00000038,434914.28319313005,Supplier_0079,2025,7,3,12.983645001324401,1.6974674880219027,0,0,KwaZulu-Natal_Q3,KwaZulu-Natal_Services_Q3,29,0,1-2yr
ocds-00000039,Dept of Education,KwaZulu-Natal,Goods,open,2024-01-27,c-00000039,4128616.52,913,a-00000039,4197794.684731175,Supplier_0013,2024,1,1,15.23345316797887,2.4996577686516086,0,0,KwaZulu-Natal_Q1,KwaZulu-Natal_Goods_Q1,98,0,2-3yr
ocds-00000040,Dept of Health,Gauteng,Works,open,2023-11-25,c-00000040,2698771.75,30,a-00000040,2693683.322212174,Supplier_0068,2023,11,4,14.808307690604249,0.08213552361396304,1,0,Gauteng_Q4,Gauteng_Works_Q4,23,0,<3mo
ocds-00000041,eThekwini,Eastern Cape,Goods,open,2023-04-14,c-00000041,1485990.25,1734,a-00000041,1480422.9453460376,Supplier_0056,2023,4,2,14.211592615951792,4.747433264887063,0,0,Eastern Cape_Q2,Eastern Cape_Goods_Q2,25,0,>3yr
ocds-00000042,Dept of Public Works,Limpopo,Works,open,2025-03-13,c-00000042,3300394.91,1045,a-00000042,3331284.1157324193,Supplier_0015,2025,3,1,15.00955299196783,2.861054072553046,0,0,Limpopo_Q1,Limpopo_Works_Q1,98,0,2-3yr
ocds-00000043,Dept of Health,Eastern Cape,Services,open,2024-03-27,c-00000043,572197.41,908,a-00000043,563963.3019268228,Supplier_0014,2024,3,1,13.257241080845597,2.485968514715948,0,0,Eastern Cape_Q1,Eastern Cape_Services_Q1,92,0,2-3yr
ocds-00000044,eThekwini,Northern Cape,Goods,open,2023-01-06,c-00000044,1897713.46,889,a-00000044,1987867.594952501,Supplier_0318,2023,1,1,14.456160804263265,2.433949349760438,0,0,Northern Cape_Q1,Northern Cape_Goods_Q1,15,0,2-3yr
ocds-00000045,Eskom,Western Cape,Services,open,2024-12-01,c-00000045,9142914.47,839,a-00000045,9358913.249433367,Supplier_0326,2024,12,4,16.028489871779534,2.297056810403833,1,0,Western Cape_Q4,Western Cape_Services_Q4,8,0,2-3yr
ocds-00000046,SANRAL,Western Cape,Services,open,2024-04-09,c-00000046,12150519.01,1768,a-00000046,12466709.365852127,Supplier_0005,2024,4,2,16.31288252601193,4.8405201916495555,0,0,Western Cape_Q2,Western Cape_Services_Q2,143,0,>3yr
ocds-00000047,Dept of Education,Eastern Cape,Goods,open,2025-04-01,c-00000047,2084607.41,873,a-00000047,2134871.5992214065,Supplier_0459,2025,4,2,14.550091582626338,2.3901437371663246,0,0,Eastern Cape_Q2,Eastern Cape_Goods_Q2,15,0,2-3yr
ocds-00000048,City of Cape Town,Western Cape,Services,open,2023-10-08,c-00000048,8684441.26,46,a-00000048,8631583.328869354,Supplier_0078,2023,10,4,15.977043736827238,0.12594113620807665,1,0,Western Cape_Q4,Western Cape_Services_Q4,19,0,<3mo
ocds-00000049,Dept of Education,KwaZulu-Natal,Goods,open,2024-09-08,c-00000049,4157602.9,643,a-00000049,4238142.988632118,Supplier_0435,2024,9,3,15.240449480717107,1.7604380561259412,0,0,KwaZulu-Natal_Q3,KwaZulu-Natal_Goods_Q3,9,0,1-2yr
ocds-00000050,City of Johannesburg,Gauteng,Services,open,2024-09-06,c-00000050,1255635.74,1506,a-00000050,1260216.4688767558,Supplier_0007,2024,9,3,14.043153364432962,4.123203285420945,0,0,Gauteng_Q3,Gauteng_Services_Q3,123,0,>3yr
ocds-00000051,Dept of Health,KwaZulu-Natal,Goods,open,2024-04-11,c-00000051,76009516.86,669,a-00000051,76762234.27716772,Supplier_0095,2024,4,2,18.146369125409358,1.8316221765913758,0,0,KwaZulu-Natal_Q2,KwaZulu-Natal_Goods_Q2,12,0,1-2yr
ocds-00000052,Eskom,Mpumalanga,Services,open,2024-06-12,c-00000052,1639550.82,1236,a-00000052,1650229.7364562901,Supplier_0104,2024,6,2,14.30993348196466,3.383983572895277,0,0,Mpumalanga_Q2,Mpumalanga_Services_Q2,15,0,>3yr
ocds-00000053,Dept of Public Works,Limpopo,Services,open,2024-07-14,c-00000053,2883293.98,568,a-00000053,2807147.9259393667,Supplier_0296,2024,7,3,14.87444428841738,1.5550992470910336,0,0,Limpopo_Q3,Limpopo_Services_Q3,12,0,1-2yr
ocds-00000054,Dept of Health,Gauteng,Works,direct,2023-12-11,c-00000054,1266154.93,970,a-00000054,1319708.2482685596,Supplier_0047,2023,12,4,14.051496041558327,2.6557152635181382,1,0,Gauteng_Q4,Gauteng_Works_Q4,36,0,2-3yr
ocds-00000055,Dept of Education,Western Cape,Goods,direct,2022-06-22,c-00000055,5821809.8,1275,a-00000055,5658855.721789002,Supplier_0012,2022,6,2,15.577121905336087,3.490759753593429,0,0,Western Cape_Q2,Western Cape_Goods_Q2,116,0,>3yr
ocds-00000056,Dept of Education,Gauteng,Goods,open,2024-10-17,c-00000056,1453061.66,1656,a-00000056,1385719.4691035799,Supplier_0327,2024,10,4,14.189184066192437,4.5338809034907595,1,0,Gauteng_Q4,Gauteng_Goods_Q4,14,0,>3yr
ocds-00000057,Dept of Education,Western Cape,Goods,open,2024-06-14,c-00000057,3988004.17,803,a-00000057,3998603.6735869464,Supplier_0359,2024,6,2,15.198801706452192,2.198494182067077,0,0,Western Cape_Q2,Western Cape_Goods_Q2,10,0,2-3yr
ocds-00000058,Dept of Education,Mpumalanga,Services,open,2024-07-24,c-00000058,3024488.63,982,a-00000058,3091713.0108222426,Supplier_0026,2024,7,3,14.922252917857334,2.6885694729637235,0,0,Mpumalanga_Q3,Mpumalanga_Services_Q3,59,0,2-3yr
ocds-00000059,City of Cape Town,North West,Services,open,2023-11-19,c-00000059,6054144.2,546,a-00000059,6104418.758470361,Supplier_0263,2023,11,4,15.616253752418901,1.4948665297741273,1,0,North West_Q4,North West_Services_Q4,10,0,1-2yr
ocds-00000060,Eskom,KwaZulu-Natal,Services,open,2023-09-26,c-00000060,256190.59,1071,a-00000060,262943.92239332077,Supplier_0293,2023,9,3,12.453680841988737,2.9322381930184807,0,0,KwaZulu-Natal_Q3,KwaZulu-Natal_Services_Q3,12,0,2-3yr
ocds-00000061,Eskom,Gauteng,Services,open,2024-10-26,c-00000061,11030968.8,1091,a-00000061,11059307.559944727,Supplier_0005,2024,10,4,16.216217311208673,2.9869952087611225,1,0,Gauteng_Q4,Gauteng_Services_Q4,143,0,2-3yr
ocds-00000062,Dept of Education,Gauteng,Works,open,2025-10-25,c-00000062,2078006.5,556,a-00000062,2029484.7143664248,Supplier_0153,2025,10,4,14.54692005987445,1.5222450376454484,1,0,Gauteng_Q4,Gauteng_Works_Q4,9,0,1-2yr
ocds-00000063,SANRAL,Limpopo,Works,open,2025-01-11,c-00000063,12668636.79,669,a-00000063,12400940.559969585,Supplier_0028,2025,1,1,16.354640031915793,1.8316221765913758,0,0,Limpopo_Q1,Limpopo_Works_Q1,75,0,1-2yr
ocds-00000064,Dept of Education,KwaZulu-Natal,Services,open,2024-08-13,c-00000064,7027625.34,608,a-00000064,6784941.858666307,Supplier_0024,2024,8,3,15.765359559545015,1.6646132785763177,0,1,KwaZulu-Natal_Q3,KwaZulu-Natal_Services_Q3,79,0,1-2yr
ocds-00000065,Eskom,Eastern Cape,Goods,open,2024-01-19,c-00000065,2438876.86,564,a-00000065,2383305.864775168,Supplier_0291,2024,1,1,14.707048598043338,1.5441478439425051,0,0,Eastern Cape_Q1,Eastern Cape_Goods_Q1,12,0,1-2yr
ocds-00000066,SANRAL,Eastern Cape,Works,open,2022-10-22,c-00000066,34023295.5,1107,a-00000066,34490202.559110954,Supplier_0318,2022,10,4,17.342556039120606,3.030800821355236,1,0,Eastern Cape_Q4,Eastern Cape_Works_Q4,15,0,>3yr
ocds-00000067,City of Johannesburg,Northern Cape,Services,open,2022-05-15,c-00000067,8389909.53,555,a-00000067,8555543.34815894,Supplier_0026,2022,5,2,15.942540414500952,1.5195071868583163,0,0,Northern Cape_Q2,Northern Cape_Services_Q2,59,0,1-2yr
ocds-00000068,City of Cape Town,KwaZulu-Natal,Services,open,2024-11-26,c-00000068,35118.15,27,a-00000068,35907.48931975628,Supplier_0028,2024,11,4,10.466501844722677,0.07392197125256673,1,0,KwaZulu-Natal_Q4,KwaZulu-Natal_Services_Q4,75,0,<3mo
ocds-00000069,Dept of Education,Gauteng,Works,open,2024-10-23,c-00000069,2957906.19,647,a-00000069,2864872.0272314297,Supplier_0311,2024,10,4,14.899992545830965,1.7713894592744694,1,0,Gauteng_Q4,Gauteng_Works_Q4,11,0,1-2yr
ocds-00000070,SANRAL,KwaZulu-Natal,Services,open,2025-01-01,c-00000070,1722026.08,811,a-00000070,1677042.823232098,Supplier_0236,2025,1,1,14.35901268974628,2.220396988364134,0,0,KwaZulu-Natal_Q1,KwaZulu-Natal_Services_Q1,18,0,2-3yr
ocds-00000071,Dept of Education,Gauteng,Works,open,2023-11-06,c-00000071,34885137.94,74,a-00000071,36567754.59512399,Supplier_0010,2023,11,4,17.36757147814817,0.2026009582477755,1,0,Gauteng_Q4,Gauteng_Works_Q4,121,0,<3mo
ocds-00000072,City of Cape Town,North West,Goods,open,2024-07-06,c-00000072,1571231.16,81,a-00000072,1618489.030440191,Supplier_0002,2024,7,3,14.267370684804634,0.22176591375770022,0,0,North West_Q3,North West_Goods_Q3,146,0,<3mo
ocds-00000073,SANRAL,Eastern Cape,Works,open,2024-11-24,c-00000073,11168606.36,601,a-00000073,11445444.397392787,Supplier_0216,2024,11,4,16.22861748645969,1.6454483230663928,1,0,Eastern Cape_Q4,Eastern Cape_Works_Q4,11,0,1-2yr
ocds-00000074,City of Johannesburg,Gauteng,Services,selective,2023-06-08,c-00000074,334145.45,871,a-00000074,340685.1540455712,Supplier_0001,2023,6,2,12.719334648911511,2.3846680355920604,0,0,Gauteng_Q2,Gauteng_Services_Q2,143,0,2-3yr
ocds-00000075,City of Cape Town,Gauteng,Goods,open,2025-04-08,c-00000075,6459588.95,1319,a-00000075,6574580.067199205,Supplier_0318,2025,4,2,15.681076398511948,3.6112251882272415,0,0,Gauteng_Q2,Gauteng_Goods_Q2,15,0,>3yr
ocds-00000076,SANRAL,Western Cape,Works,open,2023-07-11,c-00000076,23405649.81,22,a-00000076,24485388.218725514,Supplier_0345,2023,7,3,16.968488038781327,0.06023271731690623,0,0,Western Cape_Q3,Western Cape_Works_Q3,13,0,<3mo
ocds-00000077,Dept of Public Works,Western Cape,Services,open,2023-03-08,c-00000077,950668.06,1390,a-00000077,927833.3536391318,Supplier_0029,2023,3,1,13.764921289376602,3.805612594113621,0,0,Western Cape_Q1,Western Cape_Services_Q1,74,0,>3yr
ocds-00000078,Dept of Public Works,Eastern Cape,Goods,open,2025-03-12,c-00000078,1933618.26,951,a-00000078,1849960.3822822,Supplier_0335,2025,3,1,14.47490406901688,2.6036960985626285,0,0,Eastern Cape_Q1,Eastern Cape_Goods_Q1,25,0,2-3yr
ocds-00000079,eThekwini,Western Cape,Works,direct,2025-02-19,c-00000079,13384719.36,1476,a-00000079,13053459.267052347,Supplier_0001,2025,2,1,16.409624342675016,4.041067761806982,0,0,Western Cape_Q1,Western Cape_Works_Q1,143,0,>3yr
ocds-00000080,Dept of Education,Gauteng,Works,selective,2022-10-17,c-00000080,1656175.59,1170,a-00000080,1732895.713782084,Supplier_0372,2022,10,4,14.320022244715508,3.2032854209445585,1,0,Gauteng_Q4,Gauteng_Works_Q4,7,0,>3yr
ocds-00000081,Dept of Education,Gauteng,Services,open,2025-06-17,c-00000081,3306449.52,1602,a-00000081,3356597.3901964016,Supplier_0039,2025,6,2,15.011385821520951,4.386036960985626,0,0,Gauteng_Q2,Gauteng_Services_Q2,56,0,>3yr
ocds-00000082,Dept of Education,KwaZulu-Natal,Services,open,2023-08-20,c-00000082,46121.54,17,a-00000082,47489.21565272493,Supplier_0050,2023,8,3,10.739057046587222,0.04654346338124572,0,1,KwaZulu-Natal_Q3,KwaZulu-Natal_Services_Q3,45,0,<3mo
ocds-00000083,SANRAL,Western Cape,Works,open,2023-07-17,c-00000083,23584607.37,1040,a-00000083,22432783.588615995,Supplier_0386,2023,7,3,16.976104869517055,2.847364818617385,0,0,Western Cape_Q3,Western Cape_Works_Q3,15,0,2-3yr
ocds-00000084,Dept of Health,Gauteng,Works,limited,2024-09-08,c-00000084,173225855.09,1309,a-00000084,164733818.6754142,Supplier_0009,2024,9,3,18.97010682753507,3.583846680355921,0,0,Gauteng_Q3,Gauteng_Works_Q3,101,0,>3yr
ocds-00000085,Dept of Health,KwaZulu-Natal,Goods,open,2022-11-15,c-00000085,4832144.94,31,a-00000085,4687253.191996733,Supplier_0166,2022,11,4,15.390801220955261,0.08487337440109514,1,0,KwaZulu-Natal_Q4,KwaZulu-Natal_Goods_Q4,11,0,<3mo
ocds-00000086,Dept of Education,Gauteng,Works,open,2022-03-07,c-00000086,14287249.5,1465,a-00000086,14517017.21547609,Supplier_0204,2022,3,1,16.474878124115577,4.010951403148528,0,0,Gauteng_Q1,Gauteng_Works_Q1,16,0,>3yr
ocds-00000087,eThekwini,Western Cape,Goods,open,2022-06-14,c-00000087,10037283.82,23,a-00000087,9873571.496977022,Supplier_0062,2022,6,2,16.1218171993984,0.06297056810403832,0,0,Western Cape_Q2,Western Cape_Goods_Q2,19,0,<3mo
ocds-00000088,City of Johannesburg,Gauteng,Services,open,2022-02-15,c-00000088,717918.15,891,a-00000088,700521.7647606627,Supplier_0361,2022,2,1,13.484112237233179,2.439425051334702,0,0,Gauteng_Q1,Gauteng_Services_Q1,10,0,2-3yr
ocds-00000089,Dept of Health,Western Cape,Services,open,2023-04-21,c-00000089,1025413.12,691,a-00000089,1014699.1084322209,Supplier_0177,2023,4,2,13.840607108472934,1.891854893908282,0,0,Western Cape_Q2,Western Cape_Services_Q2,8,0,1-2yr
ocds-00000090,City of Johannesburg,Eastern Cape,Goods,open,2025-05-23,c-00000090,13346478.23,776,a-00000090,13523373.164129749,Supplier_0040,2025,5,2,16.406763179938277,2.1245722108145104,0,0,Eastern Cape_Q2,Eastern Cape_Goods_Q2,42,0,2-3yr
ocds-00000091,Dept of Public Works,KwaZulu-Natal,Goods,open,2024-10-27,c-00000091,1827103.0,23,a-00000091,1792780.5150834247,Supplier_0473,2024,10,4,14.418242757659032,0.06297056810403832,1,0,KwaZulu-Natal_Q4,KwaZulu-Natal_Goods_Q4,12,0,<3mo
ocds-00000092,City of Cape Town,KwaZulu-Natal,Services,open,2023-04-11,c-00000092,1201098.92,809,a-00000092,1254978.2183042034,Supplier_0458,2023,4,2,13.998748294936968,2.21492128678987,0,0,KwaZulu-Natal_Q2,KwaZulu-Natal_Services_Q2,6,0,2-3yr
ocds-00000093,City of Johannesburg,Gauteng,Works,open,2023-01-12,c-00000093,7388269.76,1036,a-00000093,7417753.270724161,Supplier_0044,2023,1,1,15.815404268249106,2.836413415468857,0,0,Gauteng_Q1,Gauteng_Works_Q1,46,0,2-3yr
ocds-00000094,Dept of Education,Gauteng,Services,open,2022-08-11,c-00000094,393196.65,79,a-00000094,374220.18502786336,Supplier_0027,2022,8,3,12.88206769063505,0.216290212183436,0,1,Gauteng_Q3,Gauteng_Services_Q3,74,0,<3mo
ocds-00000095,eThekwini,KwaZulu-Natal,Services,open,2024-06-08,c-00000095,39939910.78,690,a-00000095,41816735.29959717,Supplier_0037,2024,6,2,17.502886677136285,1.88911704312115,0,0,KwaZulu-Natal_Q2,KwaZulu-Natal_Services_Q2,47,0,1-2yr
ocds-00000096,City of Cape Town,Gauteng,Goods,limited,2023-06-17,c-00000096,47729855.68,658,a-00000096,45488399.89338695,Supplier_0427,2023,6,2,17.68106768625392,1.8015058179329226,0,0,Gauteng_Q2,Gauteng_Goods_Q2,18,0,1-2yr
ocds-00000097,City of Johannesburg,Free State,Goods,open,2024-09-09,c-00000097,2306253.66,900,a-00000097,2390763.711815116,Supplier_0446,2024,9,3,14.651135407365139,2.4640657084188913,0,0,Free State_Q3,Free State_Goods_Q3,10,0,2-3yr
ocds-00000098,City of Cape Town,Northern Cape,Services,open,2025-06-22,c-00000098,913778.57,558,a-00000098,927400.6928536377,Supplier_0482,2025,6,2,13.725344650671625,1.5277207392197125,0,0,Northern Cape_Q2,Northern Cape_Services_Q2,16,0,1-2yr
ocds-00000099,City of Johannesburg,KwaZulu-Natal,Goods,open,2023-09-10,c-00000099,45031451.44,1036,a-00000099,46199316.590909794,Supplier_0027,2023,9,3,17.622871746698724,2.836413415468857,0,0,KwaZulu-Natal_Q3,KwaZulu-Natal_Goods_Q3,74,0,2-3yr
ocds-00000100,eThekwini,Western Cape,Goods,open,2025-08-06,c-00000100,3799678.06,1228,a-00000100,3893482.884214808,Supplier_0482,2025,8,3,15.150427163235108,3.36208076659822,0,1,Western Cape_Q3,Western Cape_Goods_Q3,16,0,>3yr
ocds-00000101,City of Johannesburg,Limpopo,Goods,open,2025-03-04,c-00000101,258742.97,24,a-00000101,252449.73467584103,Supplier_0277,2025,3,1,12.46359431894234,0.06570841889117043,0,0,Limpopo_Q1,Limpopo_Goods_Q1,15,0,<3mo
